geneId,ENSEMBL,SYMBOL
20671,ENSMUSG00000025902,Sox17
21399,ENSMUSG00000033813,Tcea1
319263,ENSMUSG00000051285,Pcmtd1
59014,ENSMUSG00000061024,Rrs1
17864,ENSMUSG00000025912,Mybl1
70675,ENSMUSG00000045210,Vcpip1
17978,ENSMUSG00000005886,Ncoa2
387225,ENSMUSG00000065405,Mir30a
68187,ENSMUSG00000026153,Fam135a
68421,ENSMUSG00000073725,Lmbrd1
213109,ENSMUSG00000048874,Phf3
69668,ENSMUSG00000042111,Ccdc115
214895,ENSMUSG00000001143,Lman2l
211484,ENSMUSG00000060771,Tsga10
107734,ENSMUSG00000026087,Mrpl30
226982,ENSMUSG00000026083,Eif5b
16764,ENSMUSG00000037138,Aff3
68833,ENSMUSG00000026078,Pdcl3
26921,ENSMUSG00000026074,Map4k4
67883,ENSMUSG00000057363,Uxs1
22019,ENSMUSG00000041763,Tpp2
75623,ENSMUSG00000026049,Tex30
227059,ENSMUSG00000025986,Slc39a10
78016,ENSMUSG00000025983,Ccdc150
15510,ENSMUSG00000025980,Hspd1
227120,ENSMUSG00000038349,Plcl1
74018,ENSMUSG00000026024,Als2
241066,ENSMUSG00000026017,Carf
227210,ENSMUSG00000070871,Ccnyl1
15926,ENSMUSG00000025950,Idh1
68691,ENSMUSG00000026004,Kansl1l
16008,ENSMUSG00000039323,Igfbp2
76709,ENSMUSG00000006304,Arpc2
227290,ENSMUSG00000006299,Aamp
56695,ENSMUSG00000026179,Pnkd
319651,ENSMUSG00000033364,Usp37
66821,ENSMUSG00000026172,Bcs1l
67534,ENSMUSG00000033257,Ttll4
245860,ENSMUSG00000033124,Atg9a
13437,ENSMUSG00000026209,Dnpep
20684,ENSMUSG00000026222,Sp100
17975,ENSMUSG00000026234,Ncl
19231,ENSMUSG00000026238,Ptma
98363,ENSMUSG00000026255,Efhd1
15504,ENSMUSG00000081984,Dnajb3
100040766,ENSMUSG00000079429,Mroh2a
171382,ENSMUSG00000036251,Trpm8
12835,ENSMUSG00000048126,Col6a3
55927,ENSMUSG00000067071,Hes6
18627,ENSMUSG00000055866,Per2
208727,ENSMUSG00000026313,Hdac4
23830,ENSMUSG00000026270,Capn10
208760,ENSMUSG00000045091,Aqp12
269224,ENSMUSG00000026274,Pask
110611,ENSMUSG00000034088,Hdlbp
59041,ENSMUSG00000026277,Stk25
21915,ENSMUSG00000026281,Dtymk
66262,ENSMUSG00000026283,Ing5
626049,ENSMUSG00000101583,Gm20753
20479,ENSMUSG00000009907,Vps4b
64143,ENSMUSG00000004451,Ralb
13167,ENSMUSG00000026385,Dbi
107895,ENSMUSG00000036155,Mgat5
226409,ENSMUSG00000036086,Zranb3
226414,ENSMUSG00000026356,Dars
108900,ENSMUSG00000055184,Fam72a
74137,ENSMUSG00000009772,Nuak2
213452,ENSMUSG00000042046,Dstyk
17248,ENSMUSG00000054387,Mdm4
108954,ENSMUSG00000046062,Ppp1r15b
72674,ENSMUSG00000026457,Adipor1
98710,ENSMUSG00000042229,Rabif
75605,ENSMUSG00000042207,Kdm5b
67196,ENSMUSG00000026429,Ube2t
226432,ENSMUSG00000041879,Ipo9
66875,ENSMUSG00000052748,Swt1
102640772,ENSMUSG00000100594,2810414N06Rik
226517,ENSMUSG00000042772,Smg7
13211,ENSMUSG00000042699,Dhx9
671336,ENSMUSG00000096950,Gm9530
15939,ENSMUSG00000056708,Ier5
215015,ENSMUSG00000033557,Fam20b
89867,ENSMUSG00000026589,Sec16b
12301,ENSMUSG00000014226,Cacybp
14455,ENSMUSG00000053332,Gas5
226551,ENSMUSG00000040297,Suco
103967,ENSMUSG00000040265,Dnm3
98376,ENSMUSG00000040124,Gorab
381306,ENSMUSG00000041406,BC055324
116914,ENSMUSG00000040918,Slc19a2
70456,ENSMUSG00000026568,Mpc2
68481,ENSMUSG00000026566,Mpzl1
18986,ENSMUSG00000026565,Pou2f1
27878,ENSMUSG00000026563,Tada1
15490,ENSMUSG00000026675,Hsd17b7
107652,ENSMUSG00000026670,Uap1
19044,ENSMUSG00000062729,Ppox
21945,ENSMUSG00000013973,Dedd
68874,ENSMUSG00000045259,Klhdc9
67556,ENSMUSG00000050229,Pigm
14194,ENSMUSG00000026526,Fh1
13603,ENSMUSG00000026525,Opn3
545389,ENSMUSG00000057335,Cep170
11566,ENSMUSG00000015961,Adss
78825,ENSMUSG00000026502,Desi2
66359,ENSMUSG00000026500,Cox20
51810,ENSMUSG00000039630,Hnrnpu
15278,ENSMUSG00000026492,Tfb2m
67426,ENSMUSG00000026489,Coq8a
208768,ENSMUSG00000038806,Sde2
98386,ENSMUSG00000004880,Lbr
13244,ENSMUSG00000038633,Degs1
67247,ENSMUSG00000073481,Mtarc2
110957,ENSMUSG00000039224,D1Pas1
16526,ENSMUSG00000037624,Kcnk2
108000,ENSMUSG00000026605,Cenpf
226841,ENSMUSG00000037568,Vash2
226849,ENSMUSG00000026626,Ppp2r5a
76843,ENSMUSG00000037474,Dtl
18005,ENSMUSG00000026622,Nek2
66084,ENSMUSG00000019763,Rmnd1
18390,ENSMUSG00000000766,Oprm1
13853,ENSMUSG00000055493,Epm2a
72567,ENSMUSG00000037608,Bclaf1
71804,ENSMUSG00000019992,Mtfr2
52906,ENSMUSG00000019986,Ahi1
237336,ENSMUSG00000071359,Tbpl1
52665,ENSMUSG00000019883,Echdc1
15214,ENSMUSG00000019789,Hey2
66521,ENSMUSG00000019782,Rwdd1
15182,ENSMUSG00000019777,Hdac2
78334,ENSMUSG00000038481,Cdk19
71713,ENSMUSG00000038446,Cdc40
103199,ENSMUSG00000038417,Fig4
20598,ENSMUSG00000019822,Smpd2
53599,ENSMUSG00000019818,Cd164
56484,ENSMUSG00000048756,Foxo3
54198,ENSMUSG00000019804,Snx3
331623,ENSMUSG00000038214,Bend3
11793,ENSMUSG00000038160,Atg5
380669,ENSMUSG00000063804,Lin28b
320363,ENSMUSG00000110874,D030045P18Rik
52014,ENSMUSG00000023068,Nus1
22639,ENSMUSG00000049576,Zfa-ps
15500,ENSMUSG00000019878,Hsf2
56442,ENSMUSG00000019877,Serinc1
215999,ENSMUSG00000009647,Mcu
56709,ENSMUSG00000020109,Dnajb12
74747,ENSMUSG00000020108,Ddit4
30930,ENSMUSG00000020078,Vps26a
72320,ENSMUSG00000036955,Kifbp
94213,ENSMUSG00000020076,Ddx50
67500,ENSMUSG00000020074,Ccar1
432467,ENSMUSG00000020069,Hnrnph3
216033,ENSMUSG00000060843,Ctnna3
68488,NA,1110002J07Rik
108829,ENSMUSG00000037876,Jmjd1c
211488,ENSMUSG00000057134,Ado
70911,ENSMUSG00000037747,Phyhipl
83675,ENSMUSG00000014329,Bicc1
76877,ENSMUSG00000020175,Rab36
104248,ENSMUSG00000020196,Cabin1
14872,ENSMUSG00000033318,Gstt2
70377,ENSMUSG00000009092,Derl3
18541,ENSMUSG00000001151,Pcnt
16987,ENSMUSG00000033105,Lss
59093,ENSMUSG00000001120,Pcbp3
110532,ENSMUSG00000020262,Adarb1
20610,ENSMUSG00000020265,Sumo3
216134,ENSMUSG00000032788,Pdxk
216136,ENSMUSG00000032763,Ilvbl
216150,ENSMUSG00000020307,Cdc34
70294,ENSMUSG00000035890,Rnf126
19205,ENSMUSG00000006498,Ptbp1
20869,ENSMUSG00000003068,Stk11
59090,ENSMUSG00000035621,Midn
12696,ENSMUSG00000045193,Cirbp
18551,ENSMUSG00000020131,Pcsk4
17192,ENSMUSG00000035478,Mbd3
100113398,ENSMUSG00000113640,Adat3
103236,ENSMUSG00000003345,Csnk1g2
17347,ENSMUSG00000020190,Mknk2
20222,ENSMUSG00000020211,Sf3a2
18245,ENSMUSG00000035242,Oaz1
30055,ENSMUSG00000020219,Timm13
106947,ENSMUSG00000046822,Slc39a3
50492,ENSMUSG00000004929,Thop1
16969,ENSMUSG00000035011,Zbtb7a
13144,ENSMUSG00000034974,Dapk3
103406,ENSMUSG00000034949,Zfr2
70312,ENSMUSG00000034889,Cactin
15353,ENSMUSG00000020232,Hmg20b
56371,ENSMUSG00000020235,Fzr1
102115,ENSMUSG00000078440,Dohh
103425,ENSMUSG00000020238,Ncln
14672,ENSMUSG00000034781,Gna11
73610,ENSMUSG00000096795,Zfp433
408062,ENSMUSG00000061371,Zfp873
544717,ENSMUSG00000063320,1190007I07Rik
28109,ENSMUSG00000020255,Nopchap1
75804,ENSMUSG00000020033,4930463O16Rik
216198,ENSMUSG00000020034,Tcp11l2
70428,ENSMUSG00000034453,Polr3b
103266,ENSMUSG00000060935,Tmem263
12952,ENSMUSG00000020038,Cry1
103136,ENSMUSG00000001785,Pwp1
72843,ENSMUSG00000035529,Prdm4
103220,ENSMUSG00000044937,Ttc41
192188,ENSMUSG00000035459,Stab2
20962,ENSMUSG00000020059,Sycp3
237433,ENSMUSG00000069540,Gm4925
237436,ENSMUSG00000074802,Gas2l3
21917,ENSMUSG00000019961,Tmpo
16993,ENSMUSG00000015889,Lta4h
93765,ENSMUSG00000074781,Ube2n
67972,ENSMUSG00000019943,Atp2b1
102638712,ENSMUSG00000112304,Gm35206
216274,ENSMUSG00000019971,Cep290
216292,ENSMUSG00000036009,Mettl25
108030,ENSMUSG00000019906,Lin7a
237542,ENSMUSG00000020189,Osbpl8
53605,ENSMUSG00000058799,Nap1l1
619332,ENSMUSG00000074734,Taf7l2
327826,ENSMUSG00000020170,Frs2
70574,ENSMUSG00000020183,Cpm
17246,ENSMUSG00000020184,Mdm2
103468,ENSMUSG00000052798,Nup107
71902,ENSMUSG00000020114,Cand1
73914,ENSMUSG00000020227,Irak3
73192,ENSMUSG00000034667,Xpot
117600,ENSMUSG00000020121,Srgap1
67074,ENSMUSG00000034602,Mon2
20503,ENSMUSG00000020102,Slc16a7
12567,ENSMUSG00000006728,Cdk4
110962,ENSMUSG00000025409,Mbd6
13198,ENSMUSG00000025408,Ddit3
216443,ENSMUSG00000040354,Mars1
20847,ENSMUSG00000040033,Stat2
103135,ENSMUSG00000005682,Pan2
210582,ENSMUSG00000039914,Coq10a
18813,ENSMUSG00000025364,Pa2g4
27370,ENSMUSG00000025362,Rps26
236604,ENSMUSG00000082286,Pisd-ps1
78887,ENSMUSG00000023764,Sfi1
13494,ENSMUSG00000020457,Drg1
216505,ENSMUSG00000034614,Pik3ip1
16886,ENSMUSG00000020451,Limk2
544752,ENSMUSG00000056579,Tug1
67430,ENSMUSG00000020434,4921536K21Rik
67900,ENSMUSG00000004748,Mtfp1
103724,ENSMUSG00000034412,Tbc1d10a
14030,ENSMUSG00000009079,Ewsr1
104479,ENSMUSG00000020482,Ccdc117
76389,ENSMUSG00000020481,Ankrd36
72046,ENSMUSG00000049680,Urgcp
18293,ENSMUSG00000020456,Ogdh
77605,ENSMUSG00000041126,H2az2
14783,ENSMUSG00000020176,Grb10
432536,ENSMUSG00000084135,Pom121l12
66713,ENSMUSG00000020152,Actr2
19324,ENSMUSG00000020149,Rab1a
216543,ENSMUSG00000044066,Cep68
58172,ENSMUSG00000049800,Sertad2
216549,ENSMUSG00000049659,Aftph
67245,ENSMUSG00000020134,Peli1
103573,ENSMUSG00000020290,Xpo1
104570,ENSMUSG00000020463,Ppp4r3b
216618,ENSMUSG00000020462,Cfap36
73324,ENSMUSG00000020461,Clhc1
78372,ENSMUSG00000040767,Snrnp25
327900,ENSMUSG00000044949,Ubtd2
69351,ENSMUSG00000020270,Smim23
18148,ENSMUSG00000057113,Npm1
66011,ENSMUSG00000040594,Ranbp17
15366,ENSMUSG00000020330,Hmmr
214105,ENSMUSG00000040489,Sox30
211007,ENSMUSG00000040365,Trim41
103806,ENSMUSG00000050567,Maml1
12330,ENSMUSG00000020368,Canx
59013,ENSMUSG00000007850,Hnrnph1
12750,ENSMUSG00000020385,Clk4
15384,ENSMUSG00000020358,Hnrnpab
66050,ENSMUSG00000007777,0610009B22Rik
22210,ENSMUSG00000020390,Ube2b
14566,ENSMUSG00000018238,Gdf9
19360,ENSMUSG00000020380,Rad50
20520,ENSMUSG00000018900,Slc22a5
75530,ENSMUSG00000020268,Lyrm7
14667,ENSMUSG00000000594,Gm2a
27041,ENSMUSG00000018583,G3bp1
22698,ENSMUSG00000037001,Zfp39
319162,ENSMUSG00000078851,H2ac25
94091,ENSMUSG00000020455,Trim11
72203,ENSMUSG00000085882,2610507I01Rik
67212,ENSMUSG00000036860,Mrpl55
11840,ENSMUSG00000048076,Arf1
237775,ENSMUSG00000054519,Zfp867
100504104,ENSMUSG00000087249,Gm16062
20787,ENSMUSG00000020538,Srebf1
216810,ENSMUSG00000000538,Tom1l2
268420,ENSMUSG00000042650,Alkbh5
100628625,ENSMUSG00000092734,Mir5100
21975,ENSMUSG00000002814,Top3a
20425,ENSMUSG00000020534,Shmt1
216821,ENSMUSG00000043284,Tmem11
216825,ENSMUSG00000042506,Usp22
67473,ENSMUSG00000010122,Slc47a1
432572,ENSMUSG00000042331,Specc1
73139,ENSMUSG00000018509,Cenpv
22187,ENSMUSG00000019505,Ubb
67510,ENSMUSG00000014177,Tvp23b
54710,ENSMUSG00000070407,Hs3st3b1
102465219,ENSMUSG00000099174,Mir6406
77579,ENSMUSG00000020900,Myh10
20877,ENSMUSG00000020897,Aurkb
71923,ENSMUSG00000045176,Borcs6
18626,ENSMUSG00000020893,Per1
216850,ENSMUSG00000018476,Kdm6b
23879,ENSMUSG00000018765,Fxr2
24070,ENSMUSG00000018761,Mpdu1
13681,ENSMUSG00000059796,Eif4a1
216860,ENSMUSG00000047284,Neurl4
276770,ENSMUSG00000078812,Eif5a
53422,ENSMUSG00000018554,Ybx2
54351,ENSMUSG00000018565,Elp5
13543,ENSMUSG00000020888,Dvl2
13385,ENSMUSG00000020886,Dlg4
104457,ENSMUSG00000020831,0610010K14Rik
50932,ENSMUSG00000020827,Mink1
18643,ENSMUSG00000018293,Pfn1
216873,ENSMUSG00000018287,Spag7
19069,ENSMUSG00000040667,Nup88
116891,ENSMUSG00000018442,Derl2
237831,ENSMUSG00000020805,Slc13a5
192986,ENSMUSG00000057778,Cyb5d2
17428,ENSMUSG00000000282,Mnt
100042498,ENSMUSG00000085148,Mir22hg
215113,ENSMUSG00000038178,Slc43a2
268448,ENSMUSG00000037791,Phf12
69071,ENSMUSG00000037278,Tmem97
216987,ENSMUSG00000035575,Utp6
52615,ENSMUSG00000017548,Suz12
100503272,ENSMUSG00000085175,Gm11423
70439,ENSMUSG00000020680,Taf15
56321,ENSMUSG00000018697,Aatf
237898,ENSMUSG00000000804,Usp32
192197,ENSMUSG00000059439,Bcas3
237911,ENSMUSG00000034329,Brip1
77864,ENSMUSG00000018427,Ypel2
270906,ENSMUSG00000020493,Prr11
320472,ENSMUSG00000046442,Ppm1e
83560,ENSMUSG00000010342,Tex14
170749,ENSMUSG00000018401,Mtmr4
327992,ENSMUSG00000070345,Hsf5
56077,ENSMUSG00000000276,Dgke
20913,ENSMUSG00000020546,Stxbp4
103537,ENSMUSG00000059474,Mbtd1
22057,ENSMUSG00000037573,Tob1
237926,ENSMUSG00000039096,Rsad1
264895,ENSMUSG00000076435,Acsf2
73906,ENSMUSG00000086015,4833417C18Rik
11951,ENSMUSG00000006057,Atp5g1
18023,ENSMUSG00000038615,Nfe2l1
319371,ENSMUSG00000078700,D030028A08Rik
103711,ENSMUSG00000018659,Pnpo
16211,ENSMUSG00000001440,Kpnb1
22658,ENSMUSG00000018537,Pcgf2
102466256,ENSMUSG00000098919,Mir8102
72194,ENSMUSG00000020883,Fbxl20
69131,ENSMUSG00000003119,Cdk12
20918,ENSMUSG00000035530,Eif1
20848,ENSMUSG00000004040,Stat3
103733,ENSMUSG00000035198,Tubg1
52469,ENSMUSG00000017188,Coa3
237943,ENSMUSG00000034621,Gpatch8
268491,ENSMUSG00000051455,Meioc
192231,ENSMUSG00000048878,Hexim1
53859,ENSMUSG00000020941,Map3k14
18195,ENSMUSG00000034187,Nsf
11841,ENSMUSG00000062421,Arf2
76719,ENSMUSG00000018412,Kansl1
71833,ENSMUSG00000049354,Dcaf7
26406,ENSMUSG00000020700,Map3k3
67163,ENSMUSG00000078622,Ccdc47
83796,ENSMUSG00000078619,Smarcd2
75870,ENSMUSG00000020712,Tcam1
13207,ENSMUSG00000020719,Ddx5
76380,ENSMUSG00000020728,Cep112
52639,ENSMUSG00000041895,Wipi1
276852,ENSMUSG00000041623,D11Wsu47e
26941,ENSMUSG00000020733,Slc9a3r1
68572,ENSMUSG00000018858,Mrpl58
67283,ENSMUSG00000020744,Slc25a19
15081,ENSMUSG00000016559,H3f3b
217335,ENSMUSG00000020776,Fbf1
15223,ENSMUSG00000034227,Foxj1
319370,ENSMUSG00000050628,Ubald2
217341,ENSMUSG00000070331,Qrich2
69900,ENSMUSG00000020818,Mfsd11
217351,ENSMUSG00000025571,Tnrc6c
72344,ENSMUSG00000033909,Usp36
30951,ENSMUSG00000025578,Cbx8
108100,ENSMUSG00000025372,Baiap2
11465,ENSMUSG00000062825,Actg1
15239,ENSMUSG00000025793,Hgs
18453,ENSMUSG00000025130,P4hb
20892,ENSMUSG00000025144,Cenpx
14104,ENSMUSG00000025153,Fasn
210004,ENSMUSG00000046605,B3gntl1
74173,NA,Rab10os
19325,ENSMUSG00000020671,Rab10
52504,ENSMUSG00000020652,Cenpo
320817,ENSMUSG00000052812,Atad2b
11852,ENSMUSG00000054364,Rhob
17775,ENSMUSG00000020585,Laptm4a
209334,ENSMUSG00000051235,Gen1
70858,ENSMUSG00000114136,4921511I17Rik
16413,ENSMUSG00000062352,Itgb1bp1
22630,ENSMUSG00000076432,Ywhaq
195733,ENSMUSG00000020656,Grhl1
20115,ENSMUSG00000061477,Rps7
104836,ENSMUSG00000020659,Cbll1
320046,ENSMUSG00000052125,F730043M19Rik
11861,ENSMUSG00000047446,Arl4a
100316693,ENSMUSG00000089371,Mir1938
238130,ENSMUSG00000035954,Dock4
93757,ENSMUSG00000056899,Immp2l
100885842,ENSMUSG00000093618,Mir5627
67452,ENSMUSG00000036257,Pnpla8
217517,ENSMUSG00000046314,Stxbp6
217558,ENSMUSG00000035293,G2e3
94186,ENSMUSG00000020954,Strn3
11855,ENSMUSG00000035133,Arhgap5
104725,ENSMUSG00000044408,Sptssa
217578,ENSMUSG00000035021,Baz1a
24067,ENSMUSG00000073079,Srp54a
665155,ENSMUSG00000112449,Srp54b
328099,ENSMUSG00000079104,Prps1l3
338320,ENSMUSG00000021000,Mia2
70611,ENSMUSG00000035329,Fbxo33
66689,ENSMUSG00000020948,Klhl28
30795,ENSMUSG00000020949,Fkbp3
20090,ENSMUSG00000034892,Rps29
217664,ENSMUSG00000043998,Mgat2
238247,ENSMUSG00000048118,Arid4a
67348,ENSMUSG00000100668,1700083H02Rik
19042,ENSMUSG00000021096,Ppm1a
74284,ENSMUSG00000071265,1700086L19Rik
26932,ENSMUSG00000021051,Ppp2r5e
72338,ENSMUSG00000045690,Wdr89
15512,ENSMUSG00000059970,Hspa2
110606,ENSMUSG00000033373,Fntb
53618,ENSMUSG00000021065,Fut8
268566,ENSMUSG00000047454,Gphn
56217,ENSMUSG00000021112,Pals1
13665,ENSMUSG00000021116,Eif2s1
217684,ENSMUSG00000021133,Susd6
100504661,NA,Gm20337
54604,ENSMUSG00000021140,Pcnx
70127,ENSMUSG00000021221,Dpf3
67039,ENSMUSG00000010608,Rbm25
238317,ENSMUSG00000042507,Mideas
104776,ENSMUSG00000021238,Aldh6a1
67963,ENSMUSG00000021242,Npc2
56531,ENSMUSG00000021244,Ylpm1
217715,ENSMUSG00000004788,Eif2b2
26380,ENSMUSG00000021255,Esrrb
104799,ENSMUSG00000021038,Vipas39
20773,ENSMUSG00000021036,Sptlc2
100038378,ENSMUSG00000072884,Gm10433
73086,ENSMUSG00000021180,Rps6ka5
110616,ENSMUSG00000021189,Atxn3
51786,ENSMUSG00000041781,Cpsf2
100504156,ENSMUSG00000096753,Fam181a
192119,ENSMUSG00000041415,Dicer1
69434,ENSMUSG00000113722,Snhg10
18789,ENSMUSG00000021111,Papola
12454,ENSMUSG00000021258,Ccnk
668158,ENSMUSG00000084883,Ccdc85c
13116,ENSMUSG00000021259,Cyp46a1
22632,ENSMUSG00000021264,Yy1
104910,ENSMUSG00000048856,Slc25a47
26931,ENSMUSG00000017843,Ppp2r5c
15519,ENSMUSG00000021270,Hsp90aa1
69641,ENSMUSG00000037957,Wdr20
104859,ENSMUSG00000021275,Tecpr2
217864,ENSMUSG00000037896,Rcor1
217869,ENSMUSG00000021282,Eif5
68520,ENSMUSG00000021286,Zfyve21
382639,ENSMUSG00000037638,Zbtb42
72308,ENSMUSG00000011158,Brf1
104732,ENSMUSG00000037466,Tedc1
56421,ENSMUSG00000021196,Pfkp
319554,ENSMUSG00000058258,Idi1
217980,ENSMUSG00000033499,Larp4b
238505,ENSMUSG00000021311,Mtr
17101,ENSMUSG00000019726,Lyst
97884,ENSMUSG00000039242,B3galnt2
14593,ENSMUSG00000021302,Ggps1
19166,ENSMUSG00000015671,Psma2
66308,ENSMUSG00000012429,Mplkip
69562,ENSMUSG00000041297,Cdk13
76205,ENSMUSG00000003062,Stard3nl
353346,ENSMUSG00000053101,Gpr141
93681,ENSMUSG00000063894,Zkscan8
319170,ENSMUSG00000069309,H2ac22
319167,ENSMUSG00000069301,H2ac11
319165,ENSMUSG00000071478,H2ac7
319163,ENSMUSG00000060081,H2ac1
79555,ENSMUSG00000019132,BC005537
380836,ENSMUSG00000021339,Mrs2
13557,ENSMUSG00000016477,E2f3
78903,ENSMUSG00000021400,Wrnip1
380840,ENSMUSG00000046573,Lyrm4
387244,ENSMUSG00000065421,Mirlet7a-1
218232,ENSMUSG00000038042,Ptpdc1
76895,ENSMUSG00000037933,Bicd2
66336,ENSMUSG00000021391,Cenpp
100124649,ENSMUSG00000119667,Mir683-2
20729,ENSMUSG00000021395,Spin1
66197,ENSMUSG00000062248,Cks2
105404,NA,BB123696
97820,ENSMUSG00000025871,4833439L19Rik
