"geneId","ENSEMBL","SYMBOL"
17864,"ENSMUSG00000025912","Mybl1"
211484,"ENSMUSG00000060771","Tsga10"
78016,"ENSMUSG00000025983","Ccdc150"
245860,"ENSMUSG00000033124","Atg9a"
15504,"ENSMUSG00000081984","Dnajb3"
100040766,"ENSMUSG00000079429","Mroh2a"
269224,"ENSMUSG00000026274","Pask"
110957,"ENSMUSG00000039224","D1Pas1"
18005,"ENSMUSG00000026622","Nek2"
52906,"ENSMUSG00000019986","Ahi1"
237336,"ENSMUSG00000071359","Tbpl1"
52665,"ENSMUSG00000019883","Echdc1"
22639,"ENSMUSG00000049576","Zfa-ps"
14872,"ENSMUSG00000033318","Gstt2"
59093,"ENSMUSG00000001120","Pcbp3"
70294,"ENSMUSG00000035890","Rnf126"
18551,"ENSMUSG00000020131","Pcsk4"
12952,"ENSMUSG00000020038","Cry1"
103220,"ENSMUSG00000044937","Ttc41"
108030,"ENSMUSG00000019906","Lin7a"
619332,"ENSMUSG00000074734","Taf7l2"
73914,"ENSMUSG00000020227","Irak3"
20503,"ENSMUSG00000020102","Slc16a7"
67430,"ENSMUSG00000020434","4921536K21Rik"
76389,"ENSMUSG00000020481","Ankrd36"
432536,"ENSMUSG00000084135","Pom121l12"
216618,"ENSMUSG00000020462","Cfap36"
73324,"ENSMUSG00000020461","Clhc1"
66011,"ENSMUSG00000040594","Ranbp17"
214105,"ENSMUSG00000040489","Sox30"
94091,"ENSMUSG00000020455","Trim11"
73139,"ENSMUSG00000018509","Cenpv"
53422,"ENSMUSG00000018554","Ybx2"
237831,"ENSMUSG00000020805","Slc13a5"
69071,"ENSMUSG00000037278","Tmem97"
327992,"ENSMUSG00000070345","Hsf5"
75870,"ENSMUSG00000020712","Tcam1"
217341,"ENSMUSG00000070331","Qrich2"
11861,"ENSMUSG00000047446","Arl4a"
93757,"ENSMUSG00000056899","Immp2l"
217578,"ENSMUSG00000035021","Baz1a"
74284,"ENSMUSG00000071265","1700086L19Rik"
15512,"ENSMUSG00000059970","Hspa2"
100504156,"ENSMUSG00000096753","Fam181a"
12454,"ENSMUSG00000021258","Ccnk"
26931,"ENSMUSG00000017843","Ppp2r5c"
15519,"ENSMUSG00000021270","Hsp90aa1"
218232,"ENSMUSG00000038042","Ptpdc1"
238673,"ENSMUSG00000044934","Zfp367"
108138,"ENSMUSG00000021615","Xrcc4"
73549,"ENSMUSG00000079407","1700110I01Rik"
68308,"ENSMUSG00000090585","4933406F09Rik"
67509,"ENSMUSG00000045107","Saysd1"
219135,"ENSMUSG00000021987","Mtmr6"
100503545,"ENSMUSG00000061356","Nuggc"
57746,"ENSMUSG00000033644","Piwil2"
52023,"ENSMUSG00000022064","Pibf1"
70572,"ENSMUSG00000030662","Ipo5"
223825,"ENSMUSG00000022155","Mroh2b"
20512,"ENSMUSG00000005360","Slc1a3"
211147,"ENSMUSG00000022269","Marchf11"
18458,"ENSMUSG00000022283","Pabpc1"
15202,"ENSMUSG00000068600","Gml2"
22701,"ENSMUSG00000047003","Zfp41"
100503915,"ENSMUSG00000071724","Smpd5"
223658,"ENSMUSG00000022558","Mroh1"
67042,"ENSMUSG00000016637","Ift27"
207393,"ENSMUSG00000043460","Elfn2"
223690,"ENSMUSG00000033055","Ankrd54"
52609,"ENSMUSG00000053411","Cbx7"
77627,"ENSMUSG00000022441","Efcab6"
59033,"ENSMUSG00000023032","Slc4a8"
52864,"ENSMUSG00000039738","Slx4"
106369,"ENSMUSG00000022773","Ypel1"
75826,"ENSMUSG00000022855","Senp2"
58998,"ENSMUSG00000022656","Nectin3"
73916,"ENSMUSG00000032965","Ift57"
68001,"ENSMUSG00000022972","Cfap298"
100310872,"ENSMUSG00000092074","Dynlt1a"
100040531,"ENSMUSG00000095677","Dynlt1f"
21454,"ENSMUSG00000068039","Tcp1"
14651,"ENSMUSG00000024158","Hagh"
26426,"ENSMUSG00000039183","Nubp2"
106633,"ENSMUSG00000024169","Ift140"
21463,"ENSMUSG00000062859","Tcp11"
22092,"ENSMUSG00000024033","Rsph1"
240069,"ENSMUSG00000048602","Morc2b"
19725,"ENSMUSG00000024206","Rfx2"
70891,"ENSMUSG00000052525","Spdya"
260409,"ENSMUSG00000036533","Cdc42ep3"
68531,"ENSMUSG00000097047","1110020A21Rik"
12314,"ENSMUSG00000036438","Calm2"
12916,"ENSMUSG00000063889","Crem"
225280,"ENSMUSG00000047989","Ino80c"
78058,"ENSMUSG00000117618","4930578E11Rik"
225339,"ENSMUSG00000041915","Ammecr1l"
14680,"ENSMUSG00000024524","Gnal"
69190,"ENSMUSG00000035765","Dym"
17771,"ENSMUSG00000024905","Tesmin"
107321,"ENSMUSG00000024696","Lpxn"
74998,"ENSMUSG00000040022","Rab11fip2"
269254,"ENSMUSG00000043535","Setx"
18286,"ENSMUSG00000026790","Odf2"
53416,"ENSMUSG00000027030","Stk39"
227998,"ENSMUSG00000053896","4933409G03Rik"
228136,"ENSMUSG00000034075","Zdhhc5"
17147,"ENSMUSG00000074881","Mageb3"
67326,"ENSMUSG00000027327","1700037H04Rik"
20878,"ENSMUSG00000027496","Aurka"
74189,"ENSMUSG00000027525","Phactr3"
18415,"ENSMUSG00000025757","Hspa4l"
214048,"ENSMUSG00000025762","Larp1b"
68259,"ENSMUSG00000027778","Ift80"
75778,"ENSMUSG00000028145","Them4"
83679,"ENSMUSG00000038170","Pde4dip"
242126,"ENSMUSG00000033147","Slc22a15"
28036,"ENSMUSG00000027968","Larp7"
108943,"ENSMUSG00000004127","Trmt10a"
329828,"ENSMUSG00000046312","Myorg"
100121,"ENSMUSG00000035517","Tdrd7"
246179,"ENSMUSG00000028414","Fktn"
214444,"ENSMUSG00000039298","Cdk5rap2"
67694,"ENSMUSG00000028576","Ift74"
22608,"ENSMUSG00000028639","Ybx1"
73332,"ENSMUSG00000028637","Ccdc30"
73937,"ENSMUSG00000086788","1700029M20Rik"
71890,"ENSMUSG00000029003","Mad2l2"
70025,"ENSMUSG00000028937","Acot7"
57295,"ENSMUSG00000039662","Icmt"
231093,"ENSMUSG00000029165","Agbl5"
231207,"ENSMUSG00000039782","Cpeb2"
209707,"ENSMUSG00000015882","Lcorl"
213081,"ENSMUSG00000037890","Wdr19"
100737,"ENSMUSG00000051674","Dcun1d4"
320827,"ENSMUSG00000036377","Cracd"
53886,"ENSMUSG00000029403","Cdkl2"
320696,"ENSMUSG00000050050","Ccdc158"
27428,"ENSMUSG00000029381","Shroom3"
74596,"ENSMUSG00000029330","Cds1"
72145,"ENSMUSG00000043940","Wdfy3"
67593,"ENSMUSG00000029564","4930519G04Rik"
16923,"ENSMUSG00000042594","Sh2b3"
208908,"ENSMUSG00000061882","Ccdc62"
215707,"ENSMUSG00000037979","Ccdc92"
212919,"ENSMUSG00000034110","Kctd7"
67286,"ENSMUSG00000007987","Ift22"
100861794,"ENSMUSG00000106740","Gm21221"
100036521,"ENSMUSG00000089862","Umad1"
70699,"ENSMUSG00000038759","Nup205"
140488,"ENSMUSG00000029814","Igf2bp3"
104263,"ENSMUSG00000053470","Kdm3a"
53620,"ENSMUSG00000073002","Vamp5"
19240,"ENSMUSG00000079523","Tmsb10"
66740,"ENSMUSG00000056197","Jkampl"
74220,"ENSMUSG00000101404","1700009C05Rik"
71837,"ENSMUSG00000030030","1700003E16Rik"
434064,"ENSMUSG00000084950","Gm5577"
232223,"ENSMUSG00000000811","Txnrd3"
67492,"ENSMUSG00000042213","Zfand4"
20527,"ENSMUSG00000003153","Slc2a3"
21991,"ENSMUSG00000023456","Tpi1"
14793,"ENSMUSG00000023505","Cdca3"
22144,"ENSMUSG00000067702","Tuba3a"
330427,"ENSMUSG00000107879","9330102E08Rik"
22147,"ENSMUSG00000067338","Tuba3b"
333182,"ENSMUSG00000051811","Cox6b2"
65020,"ENSMUSG00000058638","Zfp110"
333654,"ENSMUSG00000040734","Ppp1r13l"
71997,"ENSMUSG00000002210","Smg9"
232972,"ENSMUSG00000045587","Lypd10"
210155,"ENSMUSG00000058717","Lypd11"
232973,"ENSMUSG00000062732","Lypd4"
232976,"ENSMUSG00000045252","Zfp574"
58206,"ENSMUSG00000006310","Zbtb32"
50722,"ENSMUSG00000030792","Dkkl1"
58867,"ENSMUSG00000040231","Syngr4"
16833,"ENSMUSG00000030851","Ldhc"
545975,"ENSMUSG00000030510","Cers3"
73796,"ENSMUSG00000108885","4930402F11Rik"
625243,"ENSMUSG00000108383","Gm6567"
100579147,"ENSMUSG00000074067","Gm10619"
233406,"ENSMUSG00000038943","Prc1"
233871,"ENSMUSG00000032637","Atxn2l"
20768,"ENSMUSG00000049091","Sephs2"
234069,"ENSMUSG00000038542","Pcid2"
66790,"ENSMUSG00000038515","Grtp1"
67031,"ENSMUSG00000038398","Upf3a"
66756,"ENSMUSG00000031631","Cfap97"
71876,"ENSMUSG00000031629","Cenpu"
382010,"ENSMUSG00000038215","Cep44"
80720,"ENSMUSG00000031860","Pbx4"
234373,"ENSMUSG00000036054","Sugp2"
12845,"ENSMUSG00000031849","Comp"
11767,"ENSMUSG00000003033","Ap1m1"
71296,"ENSMUSG00000031736","Crnde"
14681,"ENSMUSG00000031748","Gnao1"
75502,"ENSMUSG00000035785","Cmtm2b"
102124,"ENSMUSG00000013155","Enkd1"
72236,"ENSMUSG00000031893","Tsnaxip1"
234733,"ENSMUSG00000033658","Ddx19b"
66817,"ENSMUSG00000031953","Tmem170"
434402,"ENSMUSG00000042293","Gm5617"
17427,"ENSMUSG00000032221","Mns1"
21761,"ENSMUSG00000062270","Morf4l1"
28135,"ENSMUSG00000032534","Cep63"
112418,"ENSMUSG00000032611","1700102P08Rik"
71268,"ENSMUSG00000032497","Lrrfip2"
75116,"ENSMUSG00000074039","4930520O04Rik"
